1	20	2	10	58	56	68	68	42
2	20	4	10	130	122	148	150	118
3	20	6	10	242	210	248	258	200
4	20	8	10	338	294	316	316	306
5	20	10	10	406	350	390	394	312
6	20	12	10	518	448	476	496	376
7	20	14	10	614	516	598	628	502
8	20	16	10	720	606	670	684	572
9	20	18	10	814	688	726	746	640
10	20	20	10	896	776	842	872	704
11	20	22	10	960	830	888	934	824
12	20	24	10	1044	894	982	1016	852
13	20	26	10	1136	992	1082	1160	942
14	20	28	10	1234	1068	1120	1192	962
15	20	30	10	1298	1164	1260	1310	1054
16	20	32	10	1418	1198	1256	1324	1170
17	20	34	10	1492	1292	1414	1484	1204
18	20	36	10	1634	1404	1552	1614	1346
19	20	38	10	1708	1474	1604	1702	1392
20	20	40	10	1798	1510	1698	1776	1476
