1	10	10	10	250	204	206	206	160
2	15	10	10	346	276	314	332	240
3	20	10	10	456	380	416	440	386
4	25	10	10	482	394	468	452	366
5	30	10	10	546	438	494	530	398
6	35	10	10	622	574	656	658	570
7	40	10	10	660	576	674	670	574
8	45	10	10	854	772	832	868	662
9	50	10	10	892	768	830	868	708
10	55	10	10	1012	922	1032	1058	804
11	60	10	10	972	846	926	948	920
12	65	10	10	1144	1002	1106	1108	880
13	70	10	10	1280	1084	1158	1188	934
14	75	10	10	1340	1182	1346	1336	1050
15	80	10	10	1486	1272	1398	1384	1130
16	85	10	10	1316	1240	1340	1348	1226
17	90	10	10	1450	1290	1426	1516	1252
18	95	10	10	1586	1466	1574	1600	1206
19	100	10	10	1568	1222	1392	1354	1174
20	105	10	10	1762	1552	1680	1700	1454
