1	21	10	2	112	112	112	124	112
2	21	10	3	186	180	204	218	86
3	21	10	4	256	220	256	274	136
4	21	10	5	312	288	324	358	190
5	21	10	6	342	316	350	362	226
6	21	10	7	368	334	386	398	286
7	21	10	8	404	348	404	420	276
8	21	10	9	438	384	410	438	342
9	21	10	10	448	354	388	416	376
10	21	10	11	480	404	418	446	382
11	21	10	12	498	420	446	458	362
12	21	10	13	502	418	436	432	392
13	21	10	14	512	408	462	460	356
14	21	10	15	518	428	454	470	414
15	21	10	16	546	434	456	454	390
16	21	10	17	552	442	436	448	396
17	21	10	18	582	442	452	464	438
18	21	10	19	534	442	456	464	436
19	21	10	20	582	442	446	450	404
20	21	10	21	490	432	434	434	416
